,Time,INIT_ERAB_SR
163,2022/06/07 19:00,99.88
164,2022/06/07 20:00,99.93
165,2022/06/07 21:00,99.92
166,2022/06/07 22:00,99.94
167,2022/06/07 23:00,99.92
168,2022/06/08 00:00,99.89
169,2022/06/08 01:00,99.94
170,2022/06/08 02:00,99.94
171,2022/06/08 03:00,99.93
172,2022/06/08 04:00,99.94
173,2022/06/08 05:00,99.91
174,2022/06/08 06:00,99.7
175,2022/06/08 07:00,99.86
176,2022/06/08 08:00,99.91
177,2022/06/08 09:00,99.9
178,2022/06/08 10:00,99.91
179,2022/06/08 11:00,99.85
180,2022/06/08 12:00,99.92
181,2022/06/08 13:00,99.91
182,2022/06/08 14:00,99.89
183,2022/06/08 15:00,99.92
184,2022/06/08 16:00,99.91
185,2022/06/08 17:00,99.86
186,2022/06/08 18:00,99.72
187,2022/06/08 19:00,99.84
188,2022/06/08 20:00,99.92
189,2022/06/08 21:00,99.91
190,2022/06/08 22:00,99.93
191,2022/06/08 23:00,99.93
192,2022/06/09 00:00,99.94
193,2022/06/09 01:00,99.92
194,2022/06/09 02:00,99.94
195,2022/06/09 03:00,99.95
196,2022/06/09 04:00,99.94
197,2022/06/09 05:00,99.9
198,2022/06/09 06:00,99.8
199,2022/06/09 07:00,99.83
200,2022/06/09 08:00,99.89
201,2022/06/09 09:00,99.91
202,2022/06/09 10:00,99.91
203,2022/06/09 11:00,99.91
204,2022/06/09 12:00,99.91
205,2022/06/09 13:00,99.91
206,2022/06/09 14:00,99.91
207,2022/06/09 15:00,99.92
208,2022/06/09 16:00,99.9
209,2022/06/09 17:00,99.89
210,2022/06/09 18:00,99.82
211,2022/06/09 19:00,99.91
212,2022/06/09 20:00,99.91
213,2022/06/09 21:00,99.82
214,2022/06/09 22:00,99.76
215,2022/06/09 23:00,99.64
216,2022/06/10 00:00,99.85
217,2022/06/10 01:00,99.29
218,2022/06/10 02:00,99.05
219,2022/06/10 03:00,99.07
220,2022/06/10 04:00,99.06
221,2022/06/10 05:00,99.33
222,2022/06/10 06:00,99.83
223,2022/06/10 07:00,99.9
224,2022/06/10 08:00,99.92
225,2022/06/10 09:00,99.9
226,2022/06/10 10:00,99.91
227,2022/06/10 11:00,99.91
228,2022/06/10 12:00,99.91
229,2022/06/10 13:00,99.92
230,2022/06/10 14:00,99.91
231,2022/06/10 15:00,99.83
232,2022/06/10 16:00,99.93
233,2022/06/10 17:00,99.83
234,2022/06/10 18:00,99.84
235,2022/06/10 19:00,99.93
236,2022/06/10 20:00,99.91
237,2022/06/10 21:00,99.88
238,2022/06/10 22:00,99.94
239,2022/06/10 23:00,99.52
240,2022/06/11 00:00,99.46
241,2022/06/11 01:00,99.43
242,2022/06/11 02:00,99.17
243,2022/06/11 03:00,99.27
244,2022/06/11 04:00,99.24
245,2022/06/11 05:00,99.69
246,2022/06/11 06:00,99.8
247,2022/06/11 07:00,99.92
248,2022/06/11 08:00,99.86
249,2022/06/11 09:00,99.89
250,2022/06/11 10:00,99.91
251,2022/06/11 11:00,99.87
252,2022/06/11 12:00,99.83
253,2022/06/11 13:00,99.77
254,2022/06/11 14:00,99.84
255,2022/06/11 15:00,99.91
256,2022/06/11 16:00,99.85
257,2022/06/11 17:00,99.74
258,2022/06/11 18:00,99.84
259,2022/06/11 19:00,99.91
260,2022/06/11 20:00,99.89
261,2022/06/11 21:00,99.76
262,2022/06/11 22:00,99.65
263,2022/06/11 23:00,99.61
264,2022/06/12 00:00,99.57
265,2022/06/12 01:00,99.55
266,2022/06/12 02:00,99.46
267,2022/06/12 03:00,99.56
268,2022/06/12 04:00,99.7
269,2022/06/12 05:00,99.72
270,2022/06/12 06:00,99.82
271,2022/06/12 07:00,99.71
272,2022/06/12 08:00,99.83
273,2022/06/12 09:00,99.87
274,2022/06/12 10:00,99.91
275,2022/06/12 11:00,99.89
276,2022/06/12 12:00,99.87
277,2022/06/12 13:00,99.91
278,2022/06/12 14:00,99.89
279,2022/06/12 15:00,99.9
280,2022/06/12 16:00,99.92
281,2022/06/12 17:00,99.91
282,2022/06/12 18:00,99.92
283,2022/06/12 19:00,99.87
284,2022/06/12 20:00,99.9
285,2022/06/12 21:00,99.95
286,2022/06/12 22:00,99.94
287,2022/06/12 23:00,99.92
288,2022/06/13 00:00,99.94
289,2022/06/13 01:00,99.86
290,2022/06/13 02:00,99.86
291,2022/06/13 03:00,99.85
292,2022/06/13 04:00,99.29
293,2022/06/13 05:00,99.79
294,2022/06/13 06:00,99.74
295,2022/06/13 07:00,99.78
296,2022/06/13 08:00,99.87
297,2022/06/13 09:00,99.89
298,2022/06/13 10:00,99.77
299,2022/06/13 11:00,99.81
300,2022/06/13 12:00,99.77
301,2022/06/13 13:00,99.91
302,2022/06/13 14:00,99.92
303,2022/06/13 15:00,99.92
304,2022/06/13 16:00,99.92
305,2022/06/13 17:00,99.91
306,2022/06/13 18:00,99.93
307,2022/06/13 19:00,99.92
308,2022/06/13 20:00,99.8
309,2022/06/13 21:00,99.8
310,2022/06/13 22:00,99.94
311,2022/06/13 23:00,99.93
312,2022/06/14 00:00,99.96
313,2022/06/14 01:00,99.92
314,2022/06/14 02:00,99.95
315,2022/06/14 03:00,99.95
316,2022/06/14 04:00,99.94
317,2022/06/14 05:00,99.94
318,2022/06/14 06:00,99.84
319,2022/06/14 07:00,99.82
320,2022/06/14 08:00,99.85
321,2022/06/14 09:00,99.85
322,2022/06/14 10:00,99.88
323,2022/06/14 11:00,99.88
324,2022/06/14 12:00,99.92
325,2022/06/14 13:00,99.89
326,2022/06/14 14:00,99.89
327,2022/06/14 15:00,99.92
328,2022/06/14 16:00,99.88
329,2022/06/14 17:00,99.89
330,2022/06/14 18:00,99.86
331,2022/06/14 19:00,99.83
332,2022/06/14 20:00,99.93
333,2022/06/14 21:00,99.88
334,2022/06/14 22:00,99.85
335,2022/06/14 23:00,99.88
336,2022/06/15 00:00,99.94
337,2022/06/15 01:00,99.9
338,2022/06/15 02:00,99.95
339,2022/06/15 03:00,99.95
340,2022/06/15 04:00,99.91
341,2022/06/15 05:00,99.93
342,2022/06/15 06:00,99.69
343,2022/06/15 07:00,99.91
344,2022/06/15 08:00,99.86
345,2022/06/15 09:00,99.89
346,2022/06/15 10:00,99.9
347,2022/06/15 11:00,99.84
348,2022/06/15 12:00,99.86
349,2022/06/15 13:00,99.9
350,2022/06/15 14:00,99.84
351,2022/06/15 15:00,99.89
352,2022/06/15 16:00,99.77
353,2022/06/15 17:00,99.91
354,2022/06/15 18:00,99.81
355,2022/06/15 19:00,99.82
356,2022/06/15 20:00,99.76
357,2022/06/15 21:00,99.84
358,2022/06/15 22:00,99.9
359,2022/06/15 23:00,99.8
360,2022/06/16 00:00,99.93
361,2022/06/16 01:00,99.94
362,2022/06/16 02:00,99.93
363,2022/06/16 03:00,99.93
364,2022/06/16 04:00,99.93
365,2022/06/16 05:00,99.7
366,2022/06/16 06:00,99.8
367,2022/06/16 07:00,99.91
368,2022/06/16 08:00,99.89
369,2022/06/16 09:00,99.89
370,2022/06/16 10:00,99.92
371,2022/06/16 11:00,99.86
372,2022/06/16 12:00,99.85
373,2022/06/16 13:00,99.86
374,2022/06/16 14:00,99.78
375,2022/06/16 15:00,99.86
376,2022/06/16 16:00,99.92
377,2022/06/16 17:00,99.88
378,2022/06/16 18:00,99.85
379,2022/06/16 19:00,99.91
380,2022/06/16 20:00,99.9
381,2022/06/16 21:00,99.91
